;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words
8393;17;2;6;0;6;19;5;9;15;19;0;4;14;8;15;0;18;5;0;9;14;22;10;1;4;0;6;1;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;150;0;6;5;13;4.755102040816326
8394;9;1;4;0;1;9;3;1;3;2;0;0;3;3;2;0;9;1;0;9;4;5;2;0;3;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;47;0;1;5;9;4.333333333333333
8395;2;0;0;0;0;1;0;1;2;0;0;0;1;0;1;0;2;1;0;4;2;3;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;18;0;5;2;10;5.0
8396;5;1;1;0;3;4;1;2;5;3;0;0;4;0;2;0;3;0;1;3;2;6;2;0;2;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;38;0;4;3;9;3.857142857142857
8397;8;1;2;0;3;19;3;1;11;5;1;0;5;4;7;0;6;1;0;2;9;10;2;1;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;66;0;3;2;8;3.892857142857143
8398;3;1;2;0;4;3;6;2;3;4;0;0;2;1;3;0;2;1;1;2;2;4;4;0;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;39;0;7;3;12;6.0
8399;10;2;3;0;6;9;2;3;7;10;0;1;1;3;9;0;7;1;1;9;5;11;2;1;3;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;73;0;5;3;9;5.045454545454546
8400;9;5;6;0;9;28;7;6;11;14;0;1;2;3;13;0;14;3;1;18;12;20;4;3;3;0;3;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;130;0;6;4;12;5.0
8401;1;1;1;0;3;2;1;1;2;2;0;0;3;1;2;0;3;0;0;1;2;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;22;0;0;1;8;4.571428571428571
8402;4;1;1;0;1;7;2;2;5;5;0;1;4;3;4;0;11;1;0;4;3;12;0;1;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;49;0;1;3;11;4.529411764705882
8403;4;0;1;0;6;6;3;1;6;6;1;1;4;0;6;0;7;2;0;6;2;5;4;1;3;0;3;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;55;0;4;6;10;4.315789473684211
