;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words
3039;5;2;2;0;2;9;1;0;0;4;0;0;2;3;5;0;3;0;1;2;4;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;28;1;0;1;12;5.8
3040;6;0;2;0;4;8;0;0;0;4;1;0;0;1;8;0;4;2;0;1;3;4;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;27;0;0;2;17;5.888888888888889
3041;4;1;1;0;1;10;0;0;0;6;2;0;4;2;4;0;4;3;3;4;6;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;33;0;0;1;10;5.5
3042;6;2;2;0;1;14;0;0;1;4;0;0;5;2;6;0;7;1;0;9;8;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;44;2;1;2;9;4.2105263157894735
3043;3;0;1;0;3;7;0;0;2;5;1;0;2;0;0;0;3;3;1;5;5;3;4;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23;30;0;0;2;8;4.7272727272727275
3044;4;0;2;0;3;13;2;0;0;4;0;0;3;2;6;0;3;2;1;5;8;3;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;30;38;2;1;1;13;4.857142857142857
3045;10;1;7;0;8;31;2;3;1;15;2;0;9;4;10;0;3;3;2;9;20;11;10;1;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;73;97;1;2;1;13;6.407407407407407
3046;3;0;4;0;2;12;1;0;0;5;1;0;3;8;9;0;9;1;1;8;5;2;7;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;49;1;1;3;12;5.222222222222222
3047;7;1;1;0;1;6;1;1;1;6;2;0;4;6;10;0;8;0;0;2;8;5;6;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;45;1;0;2;10;3.8636363636363638
3048;2;0;1;0;1;5;0;0;0;3;0;0;0;2;4;0;3;1;0;3;2;3;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17;19;0;1;1;10;6.0
3049;3;0;3;0;0;5;1;0;2;1;0;0;3;0;0;0;3;1;0;5;3;2;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;23;0;2;1;10;3.5454545454545454
3050;17;1;5;0;3;18;3;1;2;6;1;0;12;7;14;0;5;2;0;7;11;11;6;2;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;85;0;1;1;13;5.6923076923076925
3051;1;1;3;0;1;7;0;0;0;3;1;0;1;1;4;0;2;1;1;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;19;0;1;1;8;3.6
3052;5;0;0;0;3;5;0;0;0;5;0;0;0;3;4;0;4;2;2;3;8;6;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;32;0;0;1;10;5.363636363636363
3053;5;0;1;0;3;12;3;1;0;2;0;0;3;1;6;0;5;1;0;6;2;2;6;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;33;2;1;1;9;5.076923076923077
