;num_a;num_b;num_c;num_ç;num_d;num_e;num_f;num_g;num_h;num_i;num_j;num_k;num_l;num_m;num_n;num_ñ;num_o;num_p;num_q;num_r;num_s;num_t;num_u;num_v;num_w;num_x;num_y;num_z;num_sch;num_ch;num_sh;num_gn;num_esszett;num_ssh;num_ix;num_ll;num_œ;num_à;num_á;num_â;num_ä;num_è;num_é;num_ê;num_ë;num_ì;num_í;num_î;num_ï;num_ò;num_ó;num_ô;num_ö;num_ù;num_ú;num_û;num_ü;num_consonants;num_vowels;num_triple_vowels;num_triple_consonants;num_capital;max_length_word;mean_length_words
11291;5;3;3;0;6;17;3;1;4;9;0;1;9;2;9;0;2;0;1;7;8;12;3;1;3;0;0;0;1;3;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;41;79;0;6;6;12;5.95
11292;4;1;3;0;4;11;1;0;2;3;0;0;6;1;3;0;6;4;0;3;4;4;3;0;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;41;0;2;1;14;5.071428571428571
11293;4;0;0;0;4;5;0;2;1;5;0;2;2;1;3;0;4;1;0;5;5;5;2;2;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;37;0;2;4;23;5.363636363636363
11294;14;8;16;0;28;75;4;8;22;42;0;7;15;2;45;0;8;7;0;32;26;22;11;7;6;0;0;3;2;14;0;0;3;4;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;159;281;1;21;15;22;7.413793103448276
11295;8;4;5;0;4;24;1;5;7;9;0;2;5;2;10;0;4;3;0;10;9;11;5;3;0;0;0;1;2;5;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;91;1;11;7;27;10.461538461538462
11296;9;5;6;0;10;22;3;3;7;14;2;2;6;8;13;0;1;2;0;8;15;10;8;0;2;0;0;1;3;6;0;0;1;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;115;0;13;7;22;6.75
11297;2;0;0;0;2;5;0;0;0;3;0;1;0;0;4;0;0;2;0;2;2;1;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;17;0;1;3;15;10.0
11298;4;0;1;0;7;16;1;2;1;8;0;1;2;1;11;0;1;0;0;7;6;3;4;1;3;0;0;2;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;53;0;6;5;13;6.461538461538462
11299;6;1;1;0;2;9;1;0;2;6;0;1;2;2;4;0;1;0;0;6;3;4;1;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;34;0;2;1;13;6.75
11300;1;1;0;0;1;8;1;1;1;3;0;1;1;3;3;0;1;1;0;4;2;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;26;0;1;4;21;15.0
11301;13;8;11;0;14;43;3;5;15;25;0;3;10;5;21;0;3;1;0;23;12;11;9;2;2;0;0;1;2;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;95;159;1;13;13;25;7.575757575757576
11302;1;0;2;0;0;7;0;0;1;1;0;2;1;2;2;0;0;0;0;3;2;6;0;2;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;27;0;5;3;24;10.0
11303;9;2;1;0;9;20;0;1;2;9;0;1;4;3;6;0;1;2;0;11;6;7;5;3;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;61;0;2;6;25;7.923076923076923
11304;3;3;4;0;12;30;0;7;5;26;0;8;6;2;23;0;9;4;0;14;11;16;8;2;3;1;0;1;2;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;78;128;0;7;10;17;8.08
